handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_24eaa7b1-6f7c-aeff-ac2c-584b7ecb8afb,Product,FIAT EGEA LINEA AYNA AYAR ANAHTARI 8 PIN,<table>	<tbody>		<tr>			<td>FIAT EGEA LINEA AYNA AYAR ANAHTARI 8 PIN<br>			OEM:735298499 - 735316891</td>		</tr>	</tbody></table>,01f459_deb9aa22768c4866b42e7851b89735db~mv2.jpg,,RCW A307 > 735380445 > FIAT PUNTO SOL ON,,303.2,,true,PERCENT,0.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bd7bfb7d-9fb7-6cd6-437b-ad2192ed3c98,Product,FIAT PUNTO SOL ON CAM DUGMESI IKILI 9 PIN,<p>FIAT PUNTO SOL ON CAM DUGMESI IKILI 9 PIN<br>OEM:&nbsp;735380445</p>,01f459_fd8acc7747484343b76dc8eadf471bb4~mv2.jpg,,RCW A306 > 735380445 > FIAT PUNTO SOL ON,,934.5,,true,PERCENT,0.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_840d7a37-dbb2-4fe6-66fe-fb4e5e975e94,Product,AYNA AYAR DUGMESI PARTNE TEPE - BERLINGO III 008>,<p>AYNA AYAR DUGMESI PARTNE TEPE - BERLINGO III 008&gt;<br>OEM:&nbsp;6545.KS</p>,01f459_ba24b21d65b843cc920329dbb26dc12d~mv2.jpg,,RCW A305 > 6545.KS > AYNA AYAR DUGMESI P,,483.5,,true,PERCENT,0.0,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8da7a2e0-66eb-4fc3-8e78-74357b79a632,Product,MEGANE II ÖN SAĞ KAPI KİLİT MEKANİZMASI,<p>KAPI KILIDI ON SAG RENAULT MEGANE II&nbsp;<br>RENAULT MEGANE II<br>OEM:&nbsp;8200027779</p>,01f459_186095c8282a42bd9ea10109424837ae~mv2.png,,RCW 138 > 8200027779 > KAPI KILIDI ON S ,,1426.4,,true,PERCENT,0.0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_be214b30-f9c1-f116-0e71-b36a19bb0cce,Product,KABLO BAĞI 4.8MM x 50 CM SİYAH - 100 ADET,<p>KABLO BAĞI 4.8MM x 50 CM SİYAH - 100 ADET</p>,01f459_499f0a7d5c5643fb9c7009a9f2d69743~mv2.jpg,Kablo Bağları,RCW KB-020,Yeni Ürün,255.7,,true,PERCENT,0.0,39500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_ac67df07-963a-ac9a-391a-01e011af5d40,Product,KABLO BAĞI 4.8MM x 50 CM BEYAZ - 100 ADET,<p>KABLO BAĞI 4.8MM x 50 CM BEYAZ - 100 ADET</p>,01f459_9b6806a86c0d4501afdbe4d83b8f3950~mv2.jpg,Kablo Bağları,RCW KB-019,Yeni Ürün,255.7,,true,PERCENT,0.0,51500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_4667cb35-0a7c-5a60-26e6-79bc6ff58b06,Product,KABLO BAĞI 4.8 MM x 45CM BEYAZ - 100 ADET,<p>KABLO BAĞI 4.8 MM x 45CM BEYAZ - 100 ADET</p>,01f459_6e6141b98e454f7a90719feb8476e271~mv2.jpg,Kablo Bağları,RCW KB-018,Yeni Ürün,236.45,,true,PERCENT,0.0,23400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_32505f7c-053c-9deb-c1bf-05975055a57d,Product,KABLO BAĞI 4.8 MM x 45CM SİYAH - 100 ADET,<p>KABLO BAĞI 4.8 MM x 45CM SİYAH - 100 ADET</p>,01f459_be1dd5f116324aa18297f9381e3964db~mv2.jpg,Kablo Bağları,RCW KB-017,Yeni Ürün,236.45,,true,PERCENT,0.0,25300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_1ae5f650-14bb-37ed-8a33-b168da98042f,Product,KABLO BAĞI 4.8MM x 30CM BEYAZ - 100 ADET,<p>KABLO BAĞI 4.8MM x 30CM BEYAZ - 100 ADET</p>,01f459_8c7265a05f454c53a66693f9330648d5~mv2.jpg,Kablo Bağları,RCW KB-016,Yeni Ürün,106.6,,true,PERCENT,0.0,28900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_7889ae31-6a80-0255-0ae6-5f272eb42c04,Product,KABLO BAĞI 4.8MM x 30CM SİYAH - 100 ADET,<p>KABLO BAĞI 4.8MM x 30CM SİYAH - 100 ADET</p>,01f459_355804550ba844229a7896c144feb345~mv2.jpg,Kablo Bağları,RCW KB-015,Yeni Ürün,106.6,,true,PERCENT,0.0,20400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
